Rank,saliency_score,OG
643,0.038983169943094254,COG1742
644,0.06017186492681503,COG1526
645,0.045112140476703644,COG1090
646,0.04777694493532181,COG1559
647,0.02331412211060524,COG3238
648,0.06404483318328857,COG0572
649,0.0857345312833786,COG2055
650,0.06822934001684189,COG1493
651,0.08081062883138657,COG0855
652,0.08264540880918503,COG0328
653,0.07629275321960449,COG0385
654,0.06774982810020447,COG4608
655,0.04542871564626694,COG0586
656,0.02195531502366066,2ECHN
657,0.051462866365909576,COG1125
658,0.073044054210186,COG0365
659,0.06086251884698868,2EBVE
660,0.11693734675645828,COG2132
661,0.1259329915046692,COG0239
662,0.1432047337293625,COG3314
663,0.112334243953228,COG1122
664,0.11945377290248871,COG0331
665,0.1115737035870552,COG4768
666,0.1277526617050171,COG0167
667,0.13615339994430542,COG1294
668,0.05882265418767929,COG2804
669,0.07544481754302979,COG2353
670,0.06381027400493622,2EGYD
671,0.05917215719819069,COG0452
672,0.07391265034675598,COG4987
673,0.07511508464813232,COG3250
674,0.06491900980472565,COG0133
675,0.023954905569553375,COG0679
676,0.03926080837845802,COG0655
677,0.004301848821341991,COG0476
678,0.006327657029032707,COG2309
679,0.019628386944532394,COG0784
680,0.056361570954322815,COG0056
681,0.0750216692686081,COG0631
682,0.03451303392648697,COG0240
683,0.009125432930886745,COG4300
684,0.02409330941736698,COG4940
685,0.030445469543337822,COG1841
686,0.06068810820579529,COG0578
687,0.019039206206798553,COG0397
688,0.019873978570103645,COG0800
689,0.06988023221492767,COG0723
690,0.05923769250512123,COG0469
691,0.1206878051161766,COG4864
692,0.11294136941432953,COG0223
693,0.06894752383232117,COG4095
694,0.07096698880195618,COG2261
695,0.04090835899114609,COG3162
696,0.0840427353978157,2BZ6P
697,0.09460864216089249,COG0637
698,0.1183304637670517,COG0016
699,0.12605807185173035,COG0497
700,0.161112979054451,COG2824
701,0.09188322722911835,COG0084
702,0.10332876443862915,arCOG13259
703,0.15153606235980988,COG0144
704,0.12743020057678223,COG0166
705,0.08419622480869293,COG0818
706,0.06896130740642548,COG0771
707,0.09358881413936615,COG1620
708,0.07249295711517334,COG0502
709,0.0850423127412796,COG4709
710,0.0876992791891098,COG2897
711,0.15396708250045776,COG1683
712,0.14856460690498352,COG2519
713,0.09440183639526367,COG5635
714,0.08227237313985825,2E108
715,0.082466721534729,COG2747
716,0.01632281392812729,COG4895
717,0.03206298127770424,COG3844
718,0.0013868057867512107,COG1208
719,0.0206505935639143,COG1058
720,0.02674407884478569,COG1168
721,0.09767453372478485,COG0204
722,0.09637994319200516,COG2183
723,0.10232429206371307,COG2388
724,0.08633290231227875,COG0529
725,0.14743323624134064,COG0537
726,0.07404758036136627,COG0563
727,0.07851962000131607,COG0504
728,0.09775198251008987,COG1823
729,0.08458589017391205,COG2131
730,0.08907204121351242,COG4147
731,0.10864485055208206,COG1692
732,0.14936035871505737,COG5484
733,0.10501949489116669,COG0689
734,0.09567996859550476,2EFPX
735,0.07724656164646149,COG0254
736,0.07199259847402573,COG4270
737,0.07584650069475174,COG0113
738,0.09594156593084335,2EEUV
739,0.15246105194091797,COG2068
740,0.17359094321727753,COG1186
741,0.10915631055831909,COG0217
742,0.10433707386255264,2DGJI
743,0.09593166410923004,COG3332
744,0.0912398248910904,COG0581
745,0.07197447121143341,COG1270
746,0.0717007964849472,COG1897
747,0.06846150755882263,COG2334
748,0.06258036196231842,COG0029
